filename,title,id,slug,url,created,tags_before,tags_after
acdh-dh.md,ACDH-DH,DG-RSRCH-30,acdh-dh,https://www.oeaw.ac.at/acdh/,"August 31, 2025 2:51 PM",austria;dh;digital-humanities;institute;organization;r,austria;dh;digital-humanities;institute;organization;r
ach.md,ACH,DG-RSRCH-41,ach,http://ach.org/,"August 31, 2025 2:51 PM",digital-humanities;membership;organization;r;society,digital-humanities;membership;organization;r;society
adho.md,ADHO,DG-RSRCH-42,adho,http://adho.org/,"August 31, 2025 2:51 PM",conference;digital-humanities;organization;umbrella,conference;digital-humanities;organization;umbrella
allmaps.md,Allmaps,DG-RSRCH-153,allmaps,https://allmaps.org/,"August 31, 2025 6:26 PM",digital-humanities;geo;georeferencing;iiif;maps;r,digital-humanities;geo;georeferencing;iiif;maps;r
annotation-studio.md,Annotation Studio,DG-RSRCH-26,annotation-studio,https://www.annotationstudio.org/,"August 31, 2025 2:51 PM",annotation;collaboration;digital-humanities;r,annotation;collaboration;digital-humanities;r
antconc.md,AntConc,DG-RSRCH-304,antconc,https://www.laurenceanthony.net/software/antconc,"August 31, 2025 6:26 PM",desktop;digital-humanities,desktop;digital-humanities
awesome-digital-history.md,Awesome Digital History,DG-RSRCH-54,awesome-digital-history,https://github.com/maehr/awesome-digital-history,"August 31, 2025 2:51 PM",awesome-list;digital-history;digital-humanities;directory;list,awesome-list;digital-history;digital-humanities;directory;list
awesome-iiif.md,Awesome IIIF,DG-RSRCH-55,awesome-iiif,https://github.com/IIIF/awesome-iiif,"August 31, 2025 2:51 PM",awesome-list;digital-history;digital-humanities;directory;iiif;list,awesome-list;digital-history;digital-humanities;directory;iiif;list
awesome-ocr.md,Awesome OCR,DG-RSRCH-56,awesome-ocr,https://github.com/kba/awesome-ocr,"August 31, 2025 2:51 PM",awesome-list;digital-history;digital-humanities;directory;iiif;list;ocr;r,awesome-list;digital-history;digital-humanities;directory;iiif;list;ocr;r
awesome-scientific-writing.md,Awesome Scientific Writing,DG-RSRCH-57,awesome-scientific-writing,https://github.com/writing-resources/awesome-scientific-writing,"August 31, 2025 2:51 PM",awesome-list;digital-history;digital-humanities;directory;iiif;list;ocr;r;writing,awesome-list;digital-history;digital-humanities;directory;iiif;list;ocr;r;writing
awesome-web-archiving.md,Awesome Web Archiving,DG-RSRCH-58,awesome-web-archiving,https://github.com/iipc/awesome-web-archiving,"August 31, 2025 2:51 PM",awesome-list;digital-history;digital-humanities;directory;iiif;list;ocr;r;web-archiving;writing,awesome-list;digital-history;digital-humanities;directory;iiif;list;ocr;r;web-archiving;writing
bertin-js.md,Bertin.js,DG-RSRCH-99,bertin-js,https://github.com/neocarto/bertin,"August 31, 2025 2:51 PM",digital-humanities;geo;library;mapping;r,digital-humanities;geo;library;mapping;r
breve.md,Breve,DG-RSRCH-10,breve,http://hdlab.stanford.edu/breve/,"August 31, 2025 2:51 PM",digital-humanities;r;tables;visualization,digital-humanities;r;tables;visualization
cantaloupe.md,Cantaloupe,DG-RSRCH-314,cantaloupe,https://cantaloupe-project.github.io,"August 31, 2025 6:26 PM",digital-humanities;iiif,digital-humanities;iiif
carolina-digital-humanities-initiative-tools-page.md,Carolina Digital Humanities Initiative Tools Page,DG-RSRCH-59,carolina-digital-humanities-initiative-tools-page,http://digitalhumanities.unc.edu/resources/tools/,"August 31, 2025 2:51 PM",catalog;digital-humanities;r;tools,catalog;digital-humanities;r;tools
catma.md,CATMA,DG-RSRCH-27,catma,https://catma.de/,"August 31, 2025 2:51 PM",annotation;digital-humanities;markup;r;tei,annotation;digital-humanities;markup;r;tei
centernet.md,centerNet,DG-RSRCH-46,centernet,http://dhcenternet.org/,"August 31, 2025 2:51 PM",centers;digital-humanities;network;organization,centers;digital-humanities;network;organization
chain.md,CHAIN,DG-RSRCH-43,chain,https://mith.umd.edu/chain/,"August 31, 2025 2:51 PM",coalition;digital-humanities;infrastructure;network,coalition;digital-humanities;infrastructure;network
chci.md,CHCI,DG-RSRCH-188,chci,https://chcinetwork.org/,"August 31, 2025 6:26 PM",centers;consortium;digital-humanities;organization;r,centers;consortium;digital-humanities;organization;r
clarin.md,CLARIN,DG-RSRCH-45,clarin,https://www.clarin.eu/,"August 31, 2025 2:51 PM",digital-humanities;infrastructure;language;r;single-sign-on,digital-humanities;infrastructure;language;r;single-sign-on
collectionbuilder.md,CollectionBuilder,DG-RSRCH-73,collectionbuilder,https://collectionbuilder.github.io/,"August 31, 2025 2:51 PM",digital-humanities;exhibits;iiif;r;static-site,digital-humanities;exhibits;iiif;r;static-site
constellate.md,Constellate,DG-RSRCH-303,constellate,https://constellate.org,"August 31, 2025 6:26 PM",digital-humanities;platform;text-mining,digital-humanities;platform;text-mining
core.md,CORE,DG-RSRCH-295,core,https://core.ac.uk,"August 31, 2025 6:26 PM",aggregator;digital-humanities;open-access,aggregator;digital-humanities;open-access
current-research-in-digital-history.md,Current Research in Digital History,DG-RSRCH-184,current-research-in-digital-history,http://crdh.rrchnm.org/,"August 31, 2025 6:26 PM",digital-humanities;journal;open-access;publication;r,digital-humanities;journal;open-access;publication;r
cytoscape.md,Cytoscape,DG-RSRCH-323,cytoscape,https://cytoscape.org,"August 31, 2025 6:26 PM",analysis;desktop;digital-humanities;networks,analysis;desktop;digital-humanities;networks
dariah-campus.md,DARIAH-CAMPUS,DG-RSRCH-228,dariah-campus,https://campus.dariah.eu/,"August 31, 2025 6:26 PM",dariah;digital-humanities;portal;r;training,dariah;digital-humanities;portal;r;training
